Order,Family,genus_species,Origin,year,Intentional_Release,In the wild,established_indoors_or_outdoors,source
Coleoptera,Acanthocnemidae,Acanthocnemus nigricans (Hope 1845),Australasia,1922,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Calymmaderus oblongus (Gorham, 1883)","Tropical, subtropical","NA",0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,Epauloecus unicolor (Piller and Mitterpacher),Cryptogenic,1861,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Gibbium aequinoctiale Boieldieu, 1854","Tropical, subtropical","NA",0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Gibbium psylloides (Czempinski, 1778)",Cryptogenic,1900,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Lasioderma sericorne Fabricius, 1792","Tropical, subtropical",1848,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,Mezium affine Boieldieu 1856,Cryptogenic,"NA",0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Mezium americanum Laporte de Castelnau, 1840",North America,"NA",0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Nicobium castaneum (Olivier, 1790)",Cryptogenic,1807,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Ozognathus cornutus (LeConte, 1859)",North America,2005,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,Pseudeurostus hilleri (Reitter 1877),Asia- Temperate,1993,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Ptilineurus marmoratus (Reitter, 1877)",Asia,1999,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,Ptinus bicinctus Sturm 1837,Cryptogenic,1856,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Ptinus clavipes Panzer, 1792",Cryptogenic,"NA",0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,Ptinus fur (Linnaeus 1758),Cryptogenic,1940,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Ptinus latro Fabricius, 1775",Cryptogenic,1850,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,Ptinus tectus Boieldieu 1856,Australasia,1916,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Tricorynus tabaci (GuÅ½rin-MÅ½neville, 1850)",C & S America,1965,0,yes,Out,"Roques, 2020"
Coleoptera,Anobiidae,"Trigonogenius globulus Solier, 1849",C & S America,1939,0,yes,Out,"Roques, 2020"
Coleoptera,Anthicidae,"Anthicus crinitus La Ferte-Senectere, 1849",Asia,"NA",0,yes,Out,"Roques, 2020"
Coleoptera,Anthicidae,"Anthicus czernohorskyi Pic, 1912",Asia,1982,0,unknown,Out,"Roques, 2020"
Coleoptera,Anthicidae,Omonadus floralis (Linnaeus 1758),Asia- Tropical,1951,0,yes,Out,"Roques, 2020"
Coleoptera,Anthicidae,Stricticomus tobias (De Marseul 1879),Asia,1944,0,yes,Out,"Roques, 2020"
Coleoptera,Anthribidae,Araecerus coffeae (Fabricius 1801),Asia-Tropical,1951,0,yes,Out,"Roques, 2020"
Coleoptera,Aphodiidae,"Aphodius gracilis Boheman, 1857",Africa,"NA",0,yes,Out,"Roques, 2020"
Coleoptera,Aphodiidae,Ataenius picinus,North America,2010,0,yes,Out,"Roques, 2020"
Coleoptera,Aphodiidae,"Saprosites mendax Blackburn, 1892",Australasia,1921,0,yes,Out,"Roques, 2020"
Coleoptera,Aphodiidae,"Saprosites natalensis (Peringuey, 1901)",Africa,1982,0,yes,Out,"Roques, 2020"
Coleoptera,Aphodiidae,"Tesarius caelatus (Laconte, 1857)",North America,1976,0,unknown,Out,"Roques, 2020"
Coleoptera,Apionidae,Alocentron (Alocentron) curvirostre (Gyllenhal 1833),Asia-Temperate,1904,0,yes,Out,"Roques, 2020"
Coleoptera,Apionidae,Aspidapion (Aspidapion) validum (Germar 1817),Asia-Temperate,1960,0,yes,Out,"Roques, 2020"
Coleoptera,Apionidae,Rhopalapion longirostre (Olivier 1807),Asia-Temperate,1875,0,yes,Out,"Roques, 2020"
Coleoptera,Bostrichidae,"Apate monachus Fabricius, 1775","Tropical, subtropical","NA",0,yes,Out,"Roques, 2020"
Coleoptera,Bostrichidae,Bostrychoplites cornutus (Olivier 1790),Africa,"NA",0,yes,Out,"Roques, 2020"
Coleoptera,Bostrichidae,"Dinoderus bifoveolatus (Wollaston, 1858)","Tropical, subtropical","NA",0,yes,Out,"Roques, 2020"
Coleoptera,Bostrichidae,Dinoderus brevis,"Tropical, subtropical",2008,0,yes,Out,"Roques, 2020"
Coleoptera,Bostrichidae,"Dinoderus minutus  (Fabricius, 1775)","Tropical, subtropical",1965,0,yes,Out,"Roques, 2020"
Coleoptera,Bostrichidae,"Dinoderus ocellaris Stephens, 1830",Asia-Tropical,2005,0,unknown,Out,"Roques, 2020"
Coleoptera,Bostrichidae,"Heterobostrychus hamatipennis (Lesne, 1895)",Asia,2005,0,yes,Out,"Roques, 2020"
Coleoptera,Bostrichidae,"Rhyzopertha dominica (Fabricius, 1792)",Asia- Tropical,1900,0,yes,Out,"Roques, 2020"
Coleoptera,Bostrichidae,"Sinoxylon senegalense Karsch, 1831",Africa,"NA",0,yes,Out,"Roques, 2020"
Coleoptera,Bostrychidae,"Prostephanus truncatus (Horn, 1878)",C. & S. America,2004,0,yes,Out,"Roques, 2020"
Coleoptera,Buprestidae,"Agrilus planipennis Fairmaire, 1888",Asia,2003,0,yes,Out,"Roques, 2020"
Coleoptera,Buprestidae,"Buprestis decora Fabricius, 1775",North America,"NA",0,yes,Out,"Roques, 2020"
Coleoptera,Buprestidae,"Chrysobothris dorsata (Fabricius, 1787)",Africa,1986,0,yes,Out,"Roques, 2020"
Coleoptera,Carabidae,"Laemostenus complanatus (Dejean, 1828)",Africa,"NA",0,yes,Out,"Roques, 2020"
Coleoptera,Carabidae,"Leistus nubivagus Wollaston, 1864",Africa,"NA",0,unknown,Out,"Roques, 2020"
Coleoptera,Carabidae,Nomius pygmaeus (Dejean 1831),North America,1896,0,yes,Out,"Roques, 2020"
Coleoptera,Carabidae,"Notiobia cupripennis (Germar, 1824)",C & S America,"NA",0,yes,Out,"Roques, 2020"
