species,year,genus_species,source,Order,Family,Genus,Mode of introduction,Establishment indoors/outdoors,Eradicated after the initial establishment
Blaberus parabolicus Walker,1989,Blaberus parabolicus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Nauphoeta cinerea (Olivier),1893,Nauphoeta cinerea,"Causton, 2006",NA,NA,NA,NA,NA,NA
Phoetalia pallida (Brunner),1920,Phoetalia pallida,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pycnoscelus surinamensis (L.),1877,Pycnoscelus surinamensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Rhyparobia maderae (F.),1989,Rhyparobia maderae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Anaplecta lateralis (Burmeister),1991,Anaplecta lateralis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Blattella germanica (L.),1920,Blattella germanica,"Causton, 2006",NA,NA,NA,NA,NA,NA
Symploce pallens (Stephens),1916,Symploce pallens,"Causton, 2006",NA,NA,NA,NA,NA,NA
Periplaneta americana (L.),1877,Periplaneta americana,"Causton, 2006",NA,NA,NA,NA,NA,NA
Periplaneta australasiae (F.),1889,Periplaneta australasiae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Periplaneta brunnea Burmeister,1920,Periplaneta brunnea,"Causton, 2006",NA,NA,NA,NA,NA,NA
Stegobium paniceum (L.),1985,Stegobium paniceum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Omonadus floralis (L.),1989,Omonadus floralis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Araecerus fasciculatus (De Geer),1985,Araecerus fasciculatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dinoderus minutus (F.),1985,Dinoderus minutus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lyctus brunneus Stephens,1964,Lyctus brunneus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lyctus sp1,1989,Lyctus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Minthea rugicollis (Walker),1985,Minthea rugicollis,"Causton, 2006",NA,NA,NA,NA,NA,NA
