Year,Order,genus species,host type,Established indoors or outdoors,origin,source
1970,Hemiptera,Acutaspis umbonifera,commercial,In,Unknown,"Smith, 2018"
1970,Hemiptera,Moritziella corticalis,commercial,Out,Unknown,"Smith, 2018"
1970,Hemiptera,Myzus varians,commercial,Out,Asia,"Smith, 2018"
1970,Hemiptera,Prociphilus fraxini,commercial,Out,Europe,"Smith, 2018"
1970,Lepidoptera,Caloptilia rufipennella,commercial,Out,Europe,"Smith, 2018"
1970,Lepidoptera,Cydia medicaginis,non-commercial,Out,Europe,"Smith, 2018"
1971,Hemiptera,Cinara cedri,commercial,Out,Europe,"Smith, 2018"
1971,Hemiptera,Illinoia (Masonaphis) lambersi,commercial,Out,N. America,"Smith, 2018"
1971,Hemiptera,Pineus similis,commercial,Out,N. America,"Smith, 2018"
1971,Hemiptera,Tupiocoris (Dicyphus) rhododendri,commercial,Out,N. America,"Smith, 2018"
1971,Lepidoptera,Athrips rancidella,commercial,Out,Europe,"Smith, 2018"
1971,Lepidoptera,Monochroa moyses,non-commercial,Out,Europe,"Smith, 2018"
1972,Hemiptera,Sitobion (Macrosiphum) ptericolens,non-commercial,Out,N. America,"Smith, 2018"
1972,Hymenoptera,Andricus lignicola,commercial,Out,Europe,"Smith, 2018"
1973,Coleoptera,Dendroctonus micans,commercial,Out,Asia,"Smith, 2018"
1973,Hemiptera,Uroleucon erigeronensis,non-commercial,Out,N. America,"Smith, 2018"
1973,Hemiptera,Wahlgreniella nervata,commercial,Out,N. America,"Smith, 2018"
1973,Lepidoptera,Coleophora fuscicornis,non-commercial,Out,Europe,"Smith, 2018"
1973,Lepidoptera,Ectoedemia erythrogenella,non-commercial,Out,Europe,"Smith, 2018"
1974,Hemiptera,Cinara (Cedrobium) lapportei,commercial,Out,Africa,"Smith, 2018"
1974,Hemiptera,Utamphorophora humboldti,non-commercial,Out,N. America,"Smith, 2018"
1974,Lepidoptera,Lampronia flavimitrella,non-commercial,Out,Europe,"Smith, 2018"
1974,Lepidoptera,Phyllocnistis xenia,commercial,Out,Europe,"Smith, 2018"
1975,Hemiptera,Eulepidosaphes pyriformis,commercial,Out,Australasia,"Smith, 2018"
1975,Hemiptera,Leucaspis podocarpi,commercial,Out,Australasia,"Smith, 2018"
1975,Lepidoptera,Cydia illutana,commercial,Out,Europe,"Smith, 2018"
1975,Lepidoptera,Ectoedemia (Etainia) sericopeza,commercial,Out,Europe,"Smith, 2018"
1975,Lepidoptera,Tinagma balteolella,non-commercial,Out,Europe,"Smith, 2018"
1976,Lepidoptera,Bisigna procerella,non-commercial,Out,Europe,"Smith, 2018"
1977,Hemiptera,Peritrechus gracilicornis,non-commercial,Out,Unknown,"Smith, 2018"
1977,Hemiptera,Placochilus seladonicus,non-commercial,Out,Unknown,"Smith, 2018"
1977,Lepidoptera,Scythris inspersella,non-commercial,Out,Europe,"Smith, 2018"
1978,Coleoptera,Otiorhynchus aurifer,commercial,Out,Unknown,"Smith, 2018"
1978,Hemiptera,Campylomma annulicornis,non-commercial,Out,Unknown,"Smith, 2018"
1978,Hemiptera,Iassus scutellaris,commercial,Out,Unknown,"Smith, 2018"
1978,Hemiptera,Livilla (Floria) variegata,commercial,Out,Europe,"Smith, 2018"
1978,Hemiptera,Vryburgia (Chorizococcus) brevicruris,commercial,In,N. America,"Smith, 2018"
1978,Lepidoptera,Coleophora linosyridella,non-commercial,Out,Europe,"Smith, 2018"
1979,Hemiptera,Tuponia carayoni,commercial,Out,Europe,"Smith, 2018"
1979,Lepidoptera,Clostera anachoreta,commercial,Out,Europe,"Smith, 2018"
1980,Hemiptera,Bemisia afer,commercial,In,Africa,"Smith, 2018"
1980,Hemiptera,Fiorinia externa,commercial,In,Asia,"Smith, 2018"
1980,Lepidoptera,Dioryctria schuetzeella,commercial,Out,Europe,"Smith, 2018"
1981,Coleoptera,Panspoeus guttatus,Unknown,Out,Australasia,"Smith, 2018"
1981,Coleoptera,Scolytus laevis,commercial,Out,Europe,"Smith, 2018"
1981,Hemiptera,Macrosiphum albifrons,commercial,Out,N. America,"Smith, 2018"
1981,Hemiptera,Pineus cembrae,commercial,Out,Europe,"Smith, 2018"
1981,Lepidoptera,Coleophora aestuariella,non-commercial,Out,Europe,"Smith, 2018"
1981,Lepidoptera,Peribatodes secundaria,commercial,Out,Europe,"Smith, 2018"
1982,Hemiptera,Appendiseta robiniae,commercial,Out,N. America,"Smith, 2018"
1982,Hemiptera,Planococcus vovae,commercial,Out,Europe,"Smith, 2018"
1982,Hemiptera,Russellaspis (Asterolecanium) pustulans,commercial,In,Cosmopolitan,"Smith, 2018"
1982,Lepidoptera,Argyresthia trifasciata,commercial,Out,Europe,"Smith, 2018"
1983,Diptera,Dasineura gleditchiae,commercial,Out,N. America,"Smith, 2018"
1984,Lepidoptera,Emmetia heinemanni,non-commercial,Out,Europe,"Smith, 2018"
1984,Lepidoptera,Monochroa niphognatha,non-commercial,Out,Europe,"Smith, 2018"
1984,Lepidoptera,Thera cupressata,commercial,Out,Europe,"Smith, 2018"
1985,Coleoptera,Otiorhynchus crataegi,commercial,Out,Europe,"Smith, 2018"
1985,Diptera,Contarinia quinquenotata,commercial,Out,Europe,"Smith, 2018"
1986,Coleoptera,Crypturgus subcribrosus,commercial,Out,Europe,"Smith, 2018"
1986,Hemiptera,Aleurothrixus floccosus,commercial,In,Americas,"Smith, 2018"
1986,Phasmatodea,Bacillus rossius,commercial,Out,Unknown,"Smith, 2018"
1986,Phasmatodea,Sipyloidea sipylus,commercial,Out,Unknown,"Smith, 2018"
1986,Thysanoptera,Frankliniella occidentalis,commercial,In,N. America,"Smith, 2018"
1987,Hemiptera,Eupulvinaria hydrangea,commercial,Out,Asia,"Smith, 2018"
1987,Hemiptera,Orsillus depressus,non-commercial,Out,Europe,"Smith, 2018"
1987,Lepidoptera,Hyles gallii,non-commercial,Out,Europe,"Smith, 2018"
1987,Lepidoptera,Mythimna albipuncta,non-commercial,Out,Europe,"Smith, 2018"
1988,Hemiptera,Spilococcus cactearum,commercial,In,Americas,"Smith, 2018"
1988,Lepidoptera,Gelechia senticetella,commercial,Out,Europe,"Smith, 2018"
1989,Lepidoptera,Eupithecia ultimaria,commercial,Out,Europe,"Smith, 2018"
1989,Lepidoptera,Phyllonorycter leucographella,commercial,Out,Europe,"Smith, 2018"
1990,Hemiptera,Acizzia uncatoides,commercial,In,Australasia,"Smith, 2018"
1990,Hemiptera,Aonidia lauri,commercial,Out,Europe,"Smith, 2018"
1990,Hemiptera,Paracolopha morrisoni,commercial,Out,Asia,"Smith, 2018"
