genus_species,AUTHOR,COMMON.NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,PHAGY,Source,eradicated
Azaleothrips siamensis,"NA",Thrip,Thysanoptera,"NA",Phlaeothripidae,2016,"NA","NA","NA","NA",Mound et al. (2017),NA
Coremothrips pallidus,"NA",Thrip,Thysanoptera,"NA",Thripidae,2016,"NA","NA","NA","NA",Mound et al. (2017),NA
Cyrtogenius brevior,"NA",Bark beetle,Coleoptera,"NA",Curculionidae,2016,"NA","NA","NA","NA",Evenhuis et al. (2018),NA
Hypothenemus brunneus,"NA",Bark beetle,Coleoptera,"NA",Curculionidae,2016,"NA","NA","NA","NA",Evenhuis et al. (2018),NA
Sophiothrips annulatus,"NA",Thrip,Thysanoptera,"NA",Phlaeothripidae,2016,"NA","NA","NA","NA",Mound et al. (2017),NA
Conoderus posticus,"NA",Click beetle,Coleoptera,"NA",Elateridae,2015,"NA","NA","NA","NA",Johnson et al. (2017),NA
Oryctes rhinoceros,Linnaeus,rhinoceros beetle,Coleoptera,"NA",Scarabaeidae,2013,"NA","NA",Indomalaya Palearctic(Asia),"NA",Hawaii Invasive Species Council website,NA
Secusio extensa,"NA",Moth,Lepidoptera,"NA",Arctiidae,2013,I,"NA","NA","NA",Krushelnycky et al. (2018),NA
Zaprionus indianus,"NA",African fig fly,Diptera,"NA",Drosophilidae,2013,"NA","NA","NA","NA",Willbrand et al. (2018),NA
Paratachardina pseudolobata,"NA",Lobate lac scale,Hemiptera,"NA",Kerriidae,2012,"NA","NA","NA","NA",Cheng and Bhandari (2015),NA
Greenidea ficicola,"NA",Aphid,Hemiptera,"NA",Aphididae,2011,"NA","NA","NA","NA",Nagamine and Garcia (2012),NA
Aethina tumida,"NA",Small hive beetle,Coleoptera,"NA",Nitidulidae,2010,"NA","NA","NA","NA",CABI Invasive Species Compendium (2017bb),NA
Horridipamera inconspicua,a seedbug,"NA",Hemiptera,"NA",Lygaeidae,2009,"NA","NA",Palearctic(Asia),"NA","Matsunaga, 2019",NA
Hypothenemus hampei,"NA",Coffee berry borer,Coleoptera,"NA",Curculionidae,2010,"NA","NA","NA","NA",Matsunaga (2014a),NA
Lasioglossum microlepoides,"NA",Sweat bee,Hymenoptera,"NA",Halictidae,2010,"NA","NA","NA","NA",Magnacca et al. (2013),NA
Oraesia excavata,a fruit-piercing moth,"NA",Lepidoptera,"NA",Noctuidae,2009,"NA","NA",Palearctic(Asia),"NA","Matsunaga, 2019",NA
