GENUS_SPECIES,Authority,COMMON.NAME,Pest Type,JP NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Blattella germanica,(Linnaeus),German cockroach,Stored: Sanit,チャバネゴキブリ,Blattodea,NA,Blattellidae,1750,NA,DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Imblattella orchidae,NA,NA,Stored: Sanit,ヨウランゴキブリ,Blattodea,NA,Blattellidae,1973,NA,DryA: Seeds: Detritivore,Australasia,"Yamanaka, 2015"
Supella longipalpa,(Fabricius),Brown-banded roach,Stored: Sanit,チャオビゴキブリ,Blattodea,NA,Blattellidae,2010,NA,DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Blattella lateralis,(Walker),NA,Stored: Sanit,"トルキスタンゴキブリ, チュウトウゴキブリ",Blattodea,NA,Blattidae,2001,NA,DryA: Seeds: Detritivore,Palearctic(Asia)  Afrotropic,"Yamanaka, 2015"
Neostylopyga rhombifolia,(Ståll),NA,Stored: Sanit,イエゴキブリ,Blattodea,NA,Blattidae,NA,NA,DryA: Seeds: Detritivore,Cosmopolitan,"Yamanaka, 2015"
Periplaneta americana,(Linneaus),American cockroach :  American cockroach,Stored: Sanit,ワモンゴキブリ,Blattodea,NA,Blattidae,1951,NA,DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Periplaneta australasiae,(Fabricius),Australian cockroach: Smoky Brown Cockroach,Stored: Sanit,コワモンゴキブリ,Blattodea,NA,Blattidae,1961,NA,DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Periplaneta brunnea,Burmeister,NA,Stored: Sanit,トビイロゴキブリ,Blattodea,NA,Blattidae,1960,NA,DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Periplaneta fuliginosa,NA,NA,Outdoor:Stored:Sanit,クロゴキブリ,Blattodea,NA,Blattidae,1735,NA,DryA: Seeds: Detritivore,Indomalaya,"Yamanaka, 2015"
Lasioderma serricorne,(Fabricius),cigarette beetle :  cigarette beetle:tobacco beetle,Stored,タバコシバンムシ,Coleoptera,NA,Anobiidae,1926,NA,DryA: Seeds,Indomalaya  Afrotropic  Neotropic,"Yamanaka, 2015"
Nicobium hirtum,(Illiger),The pubescent anobiid,Stored,ケブカシバンムシ,Coleoptera,NA,Anobiidae,NA,NA,DryA: Seeds,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Oligomerus ptilinoides,(Wollaston),NA,Timber,ヒゲナガホソシバンムシ,Coleoptera,NA,Anobiidae,1990,NA,DryA: Seeds,Palearctic(Europe),"Yamanaka, 2015"
Stegobium paniceum,(Linnaeus),book-worm :  biscuit beetle:drugstore beetle: sorghum midge,Outdoor:Stored,ジンサンシバンムシ,Coleoptera,NA,Anobiidae,1926,NA,DryA: Seeds,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Anthicus floralis,(Green),sweet potato stem borer,Stored,アトグロホソアリモドキ,Coleoptera,NA,Anthicidae,NA,NA,DryA: Seeds,Cosmopolitan,"Yamanaka, 2015"
Araecerus coffeae,(Fabricius),cocoa weevil,Outdoor:Stored,ワタミヒゲナガゾウムシ,Coleoptera,NA,Anthribidae,1956,NA,Seeds: Leaf,Nearctic  Neotropic,"Yamanaka, 2015"
Trigonorhinus zeae,(Woifrum),syn (Trigonorhinus trimaculatus),Not pest,ミツモンヒゲナガゾウムシ,Coleoptera,NA,Anthribidae,1986,NA,Fungus,Neotropic,"Yamanaka, 2015"
Dinoderus bifoveolayus,NA,NA,Timber,ヒメタケナガシンクイ,Coleoptera,NA,Bostrichidae,NA,NA,Wood,NA,"Yamanaka, 2015"
Dinoderus minutus,(Fabricius),bamboo powderpost beetle,Timber,チビタケナガシンクイ,Coleoptera,NA,Bostrichidae,1878,NA,Wood,Indomalaya,"Yamanaka, 2015"
Heterobostrychus aequalis,(Waterhouse),NA,Stored,ホソナガシンクイ,Coleoptera,NA,Bostrichidae,1999,NA,Wood,Indomalaya,"Yamanaka, 2015"
Heterobostrychus hamatipennis,NA,NA,Timber,オオナガシンクイ,Coleoptera,NA,Bostrichidae,NA,NA,Wood,Indomalaya,"Yamanaka, 2015"
Lyctoxylon dentatum,(Fauvel),NA,Timber,アラゲヒラタキクイムシ,Coleoptera,NA,Bostrichidae,NA,NA,Wood,Palearctic(Asia),"Yamanaka, 2015"
Lyctus africanus,NA,NA,Timber,アフリカヒラタキクイムシ,Coleoptera,NA,Bostrichidae,NA,NA,Wood,NA,"Yamanaka, 2015"
Lyctus brunneus,(Stephens),powderpost beetle,Timber,ヒラタキクイムシ,Coleoptera,NA,Bostrichidae,NA,NA,Wood,Palearctic(Europe),"Yamanaka, 2015"
Lyctus carbonarius,Waltl,syn (Lyctus planicollis),Timber,アメリカヒラタキクイムシ,Coleoptera,NA,Bostrichidae,1966,NA,Wood,Nearctic,"Yamanaka, 2015"
Lyctus linearis,NA,NA,Timber,ナラヒラタキクイムシ,Coleoptera,NA,Bostrichidae,NA,NA,Wood,Palearctic(Europe),"Yamanaka, 2015"
Lyctus sinensis,NA,NA,Timber,ケヤキヒラタキクイムシ,Coleoptera,NA,Bostrichidae,NA,NA,Wood,Palearctic(Asia),"Yamanaka, 2015"
Minthea rugicollis,(Walker),NA,Timber,ケブトヒラタキクイムシ,Coleoptera,NA,Bostrichidae,1964,NA,Wood,Indomalaya,"Yamanaka, 2015"
