ORDER,FAMILY,GENUS SPECIES,YEAR,origin,STATUS,REFERENCE,Intentional_Release,source,established_indoors_or_outdoors
Blattaria,Blattidae,Periplaneta americana,"NA","Ori, Eth, Nea, Net, [Afr]",P hyg,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Blattaria,Blattidae,Periplaneta fuliginosa,"NA","Ori, Nea",P hyg,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Blattaria,Blattellidae,Blattella germanica,"NA",Cos [N. America],P hyg,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Embiidina,Oligotomidae,Oligotoma saundersii,2001,Tropical and subtropical [India],Non P (indoor),Lee et al. (2002b),"NA","Hong, 2012",In
Isoptera,Rhinotermitidae,Reticulitermes speratus,1912,Ori [SE Asia],P,Lee (1996; Appendix I); Nawa (1914),"NA","Hong, 2012",Out
Psocoptera,Liposcelidae,Liposcelis entomophilus,"NA",Cos,P,Cross-check Paik (1982) and Kiritani (2002),"NA","Hong, 2012",Out
Psocoptera,Trogiidae,Lepinotus reticulatus,"NA",Cos,P,Cross-check Paik (1982) and Kiritani (2002),"NA","Hong, 2012",Out
Psocoptera,Trogiidae,Trogium pulsatorium,"NA",Cos,P*,Cross-check Chu (1969) and Kiritani (2002),"NA","Hong, 2012",Out
Thysanoptera,Thripidae,Dichromothrips smithi,1996,Ori,P* (indoor),Lee et al. (2002a),"NA","Hong, 2012",In
Thysanoptera,Thripidae,Echinothrips americanus,2009,"Nea, Eur, EA",P*â€  (indoor; disappeared),NPQS (2010b),"NA","Hong, 2012",In
Thysanoptera,Thripidae,Frankliniella occidentalis,1993,"Nea, Pal, Eth, Aus [N. America]",P*,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Thysanoptera,Thripidae,Thrips palmi,1993,Cos [Oriental],P* (indoor),Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",In
Thysanoptera,Thripidae,Thrips simplex,1991,Cos [Mediterranean],P* (indoor),Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",In
