order,family,genus,species,genus.species,original.species.name,name.changed...1.yes..0..no.,tsn,rank,year,super.family,town,NZ.region,nz.area.code,origin,ecozone,current.distribution.cosmopolitan.,phagy,phagy.main,feeding.type,feeding.main,size.mm.,comment,eradicated,Intentional_Release,source,vagrant
Hemiptera,Diaspididae,Abgrallaspis,cyanophylli,Abgrallaspis cyanophylli,Abgrallaspis cyanophylli,0,200705,Species,1973,Coccoidea,Nelson,Nelson- Tasman,NN,S. Pacific,Oceania,Yes,polyphagous,Polyphagous,herbivore,Herbivore,1.3,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Curculionidae,Acallopais,rudis,Acallopais rudis,Acallopais rudis,0,NA,Species,1963,Curculionoidea,Mt Maunganui,Bay of Plenty,BP,NA,NA,NA,polyphagous,Polyphagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Coreidae,Acantholybas,brunneus,Acantholybas brunneus,Acantholybas brunneus,0,996262,Species,1939,Coreoidea,Auckland,Auckland,AK,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,8,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Chrysomelidae,Acanthoscelides,obtectus,Acanthoscelides obtectus,Acanthoscelides obtectus,0,114506,Species,1935,Chrysomeloidea,Auckland,Auckland,AK,NA,NA,NA,polyphagous,Polyphagous,stored products,Stored products,3,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Membracidae,Acanthuchus,trispinifer,Acanthuchus trispinifer,Acanthuchus trispinifer,0,NA,Species,1971,Membracoidea,Kokiri,West Coast,BR,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,4,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Achilidae,Achilus,flammeus,Achilus flammeus,Achilus flammeus,0,NA,Species,1946,Fulgoromorpha,Auckland,Auckland,AK,Australia,Australasia,No,unknown,NA,herbivore,Herbivore,1,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Pyralidae,Achroia,grisella,Achroia grisella,Achroia grisella,0,NA,Species,1908,NA,Wellington,Wellington,WN,S. Africa,Afrotropic,Yes,Animal products,Polyphagous,stored products,Stored Products,13,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Crambidae,Achyra,affinitalis,Achyra affinitalis,Achyra affinitalis,0,NA,Species,1973,NA,Taranaki,Taranaki,TK,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,acaciae,Acizzia acaciae,Acizzia acaciae,0,NA,Species,1922,Psylloidea,Governers Bay,Canterbury,MC,Australia,Australasia,No,monophagous,Monophagous,herbivore,Herbivore,1,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,acaciaebaileyanae,Acizzia acaciaebaileyanae,Acizzia acaciaebaileyanae,0,NA,Species,1922,Psylloidea,Governers Bay,Canterbury,MC,Australia,Australasia,Yes,g-oligophagous,Oligophagous,herbivore,Herbivore,1,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,albizziae,Acizzia albizziae,Acizzia albizziae,0,NA,Species,1922,Psylloidea,Riwaka,Nelson- Tasman,NN,Australia,Australasia,No,g-oligophagous,Oligophagous,herbivore,Herbivore,1,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,conspicua,Acizzia conspicua,Acizzia conspicua,0,NA,Species,1963,Psylloidea,Auckland,Auckland,Ak,Australia,Australasia,No,g-oligophagous,Oligophagous,herbivore,Herbivore,2.4,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,NA,Acizzia errabunda,NA,NA,NA,Species,2016,NA,NA,Auckland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Martoni, 2019",NA
Hemiptera,Psyllidae,Acizzia,exquisita,Acizzia exquisita,Acizzia exquisita,0,NA,Species,1921,Psylloidea,Nelson,Nelson- Tasman,NN,Australia,Australasia,No,g-oligophagous,Oligophagous,herbivore,Herbivore,1.3,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,NA,Acizzia frenchi,NA,NA,NA,Species,2013,NA,NA,Auckland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA
Hemiptera,Psyllidae,Acizzia,hakeae,Acizzia hakeae,Acizzia hakeae,0,NA,Species,1967,Psylloidea,Waipoua,Northland,ND,Australia,Australasia,No,f-oligophagous,Oligophagous,herbivore,Herbivore,1.8,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,jucunda,Acizzia jucunda,Acizzia jucunda,0,NA,Species,1962,Psylloidea,Waitakere,Auckland,AK,Australia,Australasia,No,g-oligophagous,Oligophagous,herbivore,Herbivore,2,NA,NA,NA,"Edney-Browne, 2018",NA
