genus_species,AUTHOR,order,suborder,family,year,Rege.Date.Source,Intentional_Release,Host_Group,origin,origin2,PHAGY,Source,Synonym,TSN,Canada.or.US,Confirmed.Establishment,Comment,eradicated
Abax parallelopipedus,(PillerandMitterp.),Coleoptera,"NA",Carabidae,1965,"NA",N,"NA",Palearctic(Europe),"NA","NA",http://www.sibnef1.eu/gb/Coleoptera/Carabidae/img10/eco10.HTM; http://bugguide.net/node/view/497361,"NA","NA","NA","NA","NA",NA
Abgrallaspis cyanophylli,(Signoret),Hemiptera,Sternorrhyncha,Diaspididae,1921,"NA","NA",face fly,Neotropic,"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Abgrallaspis degenerata,Leonardi,Hemiptera,Sternorrhyncha,Diaspididae,1931,"Miller, Douglass R. et.al. 2005. Introduced scale insects (Hemiptera: Coccoidea) of the United States and their impact on U.S. agriculture. Proc. Entomol. Soc. Wash 107(1): 123-158.","NA","NA",Palearctic(Europe) Palearctic(Asia),"NA","NA","Miller, Douglass R. et.al. 2005. Introduced scale insects (Hemiptera: Coccoidea) of the United States and their impact on U.S. agriculture. Proc. Entomol. Soc. Wash 107(1): 123-158.",Dynaspidiotus degenerata,"NA","NA","NA","NA",NA
Abia fasciata,(Linnaeus),Hymenoptera,"NA",Cimbicidae,"NA","NA","NA","NA",Palearctic(Asia)  Palearctic(Europe),"NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.
http://symphyta.jimdo.com/","NA","NA","NA","NA","NA",NA
Acalypta parvula,"NA",Hemiptera,Prosorrhyncha,Tingidae,1963,"NA","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Acantholyda erythrocephala,(Linnaeus),Hymenoptera,"NA",Pamphiliidae,1925,"NA","NA",forest trees,Palearctic(Asia)  Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Acanthoscelides macrophthalmus,(Schaeffer),Coleoptera,"NA",Chrysomelidae,1990,"NA","NA",fruit trees: ornamental plants and flowers,Neotropic,"NA",Granivorous,"Tuda (2009) A novel host shift and invaded range of a seed predator Acanthoscelides macrophthalmus (Coleoptera: Chrysomelidae: Bruchinae) of an invasive weed Leucaen. Entomological Science 12: 1-8 
http://www.bioone.org/doi/pdf/10.4001/003.020.0106","NA","NA","NA","NA","NA",NA
Acanthoscelides obtectus,Say,Coleoptera,"NA",Chrysomelidae,1931,"NA",N,fruit trees: ornamental plants and flowers,Neotropic,"NA","Granivorous, aphagous as adult","NANIAD
Alvarez (2005) Ancient and recent evolutionary history of the bruchid beetle Acanthoscelides obtectus Say a cosmopolitan pest of beans. Mol Ecol. 14:1015-24
http://www7.inra.fr/hyppz/RAVAGEUR/6acaobt.htm#haut; http://eol.org/pages/1172877/overview","NA","NA","NA","NA","NA",NA
Acanthoscelides quadridentatus,(Schaeffer),Coleoptera,"NA",Bruchidae,1986,"NA",N,"NA",Neotropic,"NA",Plant-feeder (Mimosa seed),"Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28
Kingsolver, John M. 2004. Handbook of the Bruchidae of the United States and Canada (Insecta, Coleoptera). U.S. Department of Agriculture, Technical Bulletin 1912, 2 vol., 636 pp.; Freedman, Jan E. and Grodowitz, Michael J. 2007. Potential use of native and naturalized insect herbivores and fungal pathogens of aquatic and wetland plants. ERDC/EL TR-07-11. 68 pp.","NA","NA","NA","NA","NA",NA
Acentria ephemerella,(Olivier),Lepidoptera,"NA",Pyralidae,1925,"NA","NA",ornamental plants and flowers:,Palearctic(Asia)  Palearctic(Europe),"NA","NA",http://fwcb.cfans.umn.edu/research/milfoil/milfoilbc/Acentriainfo.html,"NA","NA","NA","NA","NA",NA
Aceratoneuromyia indica,(Silvestri),Hymenoptera,"NA",Eulophidae,1984,"NA","NA","NA",Palearctic(Asia),"NA","NA",Frank and McCoy (2007) The risk of classical biological control in Florida. Biological Control 41.2: 151-174.,"NA","NA","NA","NA","NA",NA
Achaea ablunaris,Walker,Lepidoptera,"NA",Noctuidae,1989,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Acheta domesticus,(Linnaeus),Orthoptera,"NA",Gryllidae,1872,"NA","NA",fruit trees: dry wood and wood products,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Achroia grisella,(Fabricius),Lepidoptera,"NA",Pyralidae,1908,"NA","NA",industrial crops: forage crops and grasses: ornamental plants and flowers: food crops and vegetables: fruit trees,Palearctic(Europe)  Palearctic(Asia)  Oceania,"NA","NA",http://en.wikipedia.org/wiki/Lesser_wax_moth,"NA","NA","NA","NA","NA",NA
Acidota crenata,(Fabricius),Coleoptera,"NA",Staphylinidae,1871,"Herman, Lee H. Catalog of the Staphylinidae (Insecta: Coleoptera). 1758 to the end of the second millenium.. Part I; AMNH Bulletin No. 265, 2001. pg. 214;  Fauvel, A. 1871. Faune Gallo-RhÃƒÆ’Ã‚Â©nane ou descriptions des insectes qui habitent la France, la Belgique, la Hollande, le Luxembourg, les provinces RhÃƒÆ’Ã‚Â©nanes et la Valais avec tableaux synoptiques et planches gravÃƒÆ’Ã‚Â©es. Bulletin de la SociÃƒÆ’Ã‚Â©tÃƒÆ’Ã‚Â© LinnÃƒÆ’Ã‚Â©enne de Normandie (2)5: (1869ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“70): 27ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“192. pg. 115.","NA","NA",Palearctic(Europe) Palearctic(Asia),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Acidota quadrata,(Zetterstedt),Coleoptera,"NA",Staphylinidae,1878,"Herman, Lee H. Catalog of the Staphylinidae (Insecta: Coleoptera). 1758 to the end of the second millenium.. Part I; AMNH Bulletin No. 265, 2001. pg. 218;  Fauvel, A. 1878. Les Staphylinides de lÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢Amerique du nord. Bulletin de la SociÃƒÆ’Ã‚Â©tÃƒÆ’Ã‚Â© LinnÃƒÆ’Ã‚Â©enne de Normandie (3)2:167ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“269. pg. 229.","NA","NA",Palearctic(Europe) Palearctic(Asia),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Acizzia acaciaebaileyanae,(Froggatt),Hemiptera,Sternorrhyncha,Psyllidae,1987,https://en.wikipedia.org/wiki/Acizzia_acaciaebaileyanae,"NA","NA",Australasia,"NA","NA",Percy et al (2012) An annotated checklist of the psyllids of California (Hemiptera: Psylloidea). Zootaxa 3193: 1-27,"NA","NA","NA","NA","NA",NA
Acizzia hakeae,(Tuthill),Hemiptera,Sternorrhyncha,Psyllidae,2000,"NA","NA","NA",Australasia,"NA","NA",Percy et al (2012) An annotated checklist of the psyllids of California (Hemiptera: Psylloidea). Zootaxa 3193: 1-27,"NA","NA","NA","NA","NA",NA
Acizzia jamatonica,(Kuwayama),Hemiptera,Sternorrhyncha,Psyllidae,2006,"NA","NA","NA",Palearctic(Asia),"NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Acizzia uncatoides,(Ferris and Klyver),Hemiptera,Sternorrhyncha,Psyllidae,1954,"NA","NA","NA",Oceania,"NA","NA",Aukema,Psylla uncatoides,"NA","NA","NA","NA",NA
Aclerda tokionis,Cockerell,Hemiptera,Sternorrhyncha,Aclerdidae,1900,"NA","NA",forest trees:,Palearctic(Asia) Palearctic(Asia),"NA","NA",Kiritani (2000) Insect invasion in the world. Insectalium 37: 224-235,"NA","NA","NA","NA","NA",NA
Acleris comariana,(Zeller),Lepidoptera,"NA",Tortricidae,1972,"NA","NA",Cannabis,Palearctic(Europe),"NA","NA",http://idtools.org/id/leps/tortai/Acleris_comariana.htm,"NA","NA","NA","NA","NA",NA
Acleris forskaleana,(Linnaeus),Lepidoptera,"NA",Tortricidae,1932,"NA","NA",forest trees:,Palearctic(Europe),"NA","NA",NANIAD,Croesia forskaleana,"NA","NA","NA","NA",NA
Acleris holmiana,"NA",Lepidoptera,"NA",Tortricidae,1877,"NA","NA",fruit trees: ornamental plants and flowers,Palearctic(Asia) Palearctic(Europe),"NA","NA",http://idtools.org/id/leps/tortai/Acleris_holmiana.htm,Croesia holmiana,"NA","NA","NA","NA",NA
Acleris variegana,(DenisandSchiffermuller),Lepidoptera,"NA",Tortricidae,1916,"NA","NA",fruit trees: forest trees,Palearctic(Asia) Palearctic(Europe),"NA","NA",http://en.wikipedia.org/wiki/Acleris_variegana,"NA","NA","NA","NA","NA",NA
Acritus nigricornis,Hoff.,Coleoptera,"NA",Histeridae,1617,"King, Gary Andrew; Bain, Allison, and Dussault, Frric. 2013. Assessment of insect remains from a colonial well (JR2158; Structure 177) at James Fort, Jamestown, Virginia. IN: A.-M. Faucher, S. NoÃƒÆ’Ã‚Â«l (Eds.), Revue des Laboratoires d'Archeologie de l'UniversitÃƒÆ’Ã‚Â© Laval, vol. 1(2)Internet des Laboratoires d'archÃƒÆ’Ã‚Â©ologie de l'UniversitÃƒÆ’Ã‚Â© Laval, QuÃƒÆ’Ã‚Â©bec (2013), pp. 198ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“210.","NA","NA","NA","NA","NA","King, Gary Andrew; Bain, Allison, and Dussault, Frric. 2013. Assessment of insect remains from a colonial well (JR2158; Structure 177) at James Fort, Jamestown, Virginia. IN: A.-M. Faucher, S. NoÃƒÆ’Ã‚Â«l (Eds.), Revue des Laboratoires d'Archeologie de l'UniversitÃƒÆ’Ã‚Â© Laval, vol. 1(2)Internet des Laboratoires d'archÃƒÆ’Ã‚Â©ologie de l'UniversitÃƒÆ’Ã‚Â© Laval, QuÃƒÆ’Ã‚Â©bec (2013), pp. 198ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“210.","NA","NA","NA","NA","NA",NA
