GENUS_SPECIES,Authority,COMMON.NAME,JP NAME,Pest Type,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Supella longipalpa,(Fabricius),Brown-banded roach,ãƒãƒ£ã‚ªãƒ“ã‚´ã‚­ãƒ–ãƒª,Stored: Sanit,Blattodea,"NA",Blattellidae,1969,"NA",DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Periplaneta americana,(Linneaus),American cockroach :  American cockroach,ãƒ¯ãƒ¢ãƒ³ã‚´ã‚­ãƒ–ãƒª,Stored: Sanit,Blattodea,"NA",Blattidae,1951,"NA",DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Periplaneta australasiae,(Fabricius),Australian cockroach: Smoky Brown Cockroach,ã‚³ãƒ¯ãƒ¢ãƒ³ã‚´ã‚­ãƒ–ãƒª,Stored: Sanit,Blattodea,"NA",Blattidae,1961,"NA",DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Periplaneta brunnea,Burmeister,"NA",ãƒˆãƒ“ã‚¤ãƒ­ã‚´ã‚­ãƒ–ãƒª,Stored: Sanit,Blattodea,"NA",Blattidae,1960,"NA",DryA: Seeds: Detritivore,Nearctic Afrotropic,"Yamanaka, 2015"
Periplaneta fuliginosa,"NA","NA",ã‚¯ãƒ­ã‚´ã‚­ãƒ–ãƒª,Stored: Sanit,Blattodea,"NA",Blattidae,1735,"NA",Stored,Indomalaya,"Yamanaka, 2015"
Opisthoplatia orientalis,(Burmeister),"NA",ã‚µãƒ„ãƒžã‚´ã‚­ãƒ–ãƒª,Stored: Sanit,Blattodea,"NA",Epilampridae,"NA","NA",DryA: Seeds: Detritivore,Indomalaya,"Yamanaka, 2015"
Nicobium hirtum,(Illiger),The pubescent anobiid,ã‚±ãƒ–ã‚«ã‚·ãƒãƒ³ãƒ ã‚·,Stored,Coleoptera,"NA",Anobiidae,"NA","NA",DryA: Seeds,Palearctic(Asia) Palearctic(Europe),"Yamanaka, 2015"
Araecerus coffeae,(Fabricius),cocoa weevil,ãƒ¯ã‚¿ãƒŸãƒ’ã‚²ãƒŠã‚¬ã‚¾ã‚¦ãƒ ã‚·,Stored: Outdoor,Coleoptera,"NA",Anthribidae,1956,"NA",Seeds: Leaf,Neotropic,"Yamanaka, 2015"
Heterobostrychus hamatipennis,"NA","NA",ã‚ªã‚ªãƒŠã‚¬ã‚·ãƒ³ã‚¯ã‚¤,Wood,Coleoptera,"NA",Bostrichidae,"NA","NA",Wood,Indomalaya,"Yamanaka, 2015"
Lyctus brunneus,(Stephens),powderpost beetle,ãƒ’ãƒ©ã‚¿ã‚­ã‚¯ã‚¤ãƒ ã‚·,Wood,Coleoptera,"NA",Bostrichidae,"NA","NA",Wood,Palearctic(Europe),"Yamanaka, 2015"
Cylas formicarius,(Fabricius),Sweet potato weevil :  sweetpotato weevil,ã‚¢ãƒªãƒ¢ãƒ‰ã‚­ã‚¾ã‚¦ãƒ ã‚·,Outdoor,Coleoptera,"NA",Brentidae,1903,"NA",Root (æ ¹èœé¡ž),Indomalaya,"Yamanaka, 2015"
Chalcophora yunnana,"NA","NA",ã‚¦ãƒã‚¿ãƒžãƒ ã‚·,Wood,Coleoptera,"NA",Buprestidae,"NA","NA",Wood,Palearctic(Asia),"Yamanaka, 2015"
Arhopalus coreanus,"NA","NA",ã‚µãƒ“ã‚«ãƒŸã‚­ãƒª,Wood,Coleoptera,"NA",Cerambycidae,"NA","NA",Wood,Palearctic(Asia),"Yamanaka, 2015"
Cephalallus unicolor,(Gahan),"NA",ãƒ„ã‚·ãƒžãƒ ãƒŠã‚¯ãƒœã‚«ãƒŸã‚­ãƒª,Wood,Coleoptera,"NA",Cerambycidae,1976,"NA",Wood (ãƒžãƒ„),Palearctic(Asia) Indomalaya,"Yamanaka, 2015"
