GENUS_SPECIES,Authority,COMMON.NAME,JP NAME,Pest Type,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Blattella germanica,(Linnaeus),German cockroach,チャバネゴキブリ,Stored: Sanit,Blattodea,NA,Blattellidae,1750,NA,DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Lobopterella dimidiatipes,(Bolivar),NA,フタテンコバネゴキブリ,Stored: Sanit,Blattodea,NA,Blattellidae,1955,NA,DryA: Seeds: Detritivore,Indomalaya Oceania,"Yamanaka, 2015"
Neostylopyga rhombifolia,(Ståll),NA,イエゴキブリ,Stored: Sanit,Blattodea,NA,Blattidae,1939,NA,DryA: Seeds: Detritivore,Palearctic(Asia) Indomalaya,"Yamanaka, 2015"
Periplaneta americana,(Linneaus),American cockroach :  American cockroach,ワモンゴキブリ,Stored: Sanit,Blattodea,NA,Blattidae,1951,NA,DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Periplaneta australasiae,(Fabricius),Australian cockroach: Smoky Brown Cockroach,コワモンゴキブリ,Stored: Sanit,Blattodea,NA,Blattidae,1961,NA,DryA: Seeds: Detritivore,Afrotropic,"Yamanaka, 2015"
Periplaneta brunnea,Burmeister,NA,トビイロゴキブリ,Stored: Sanit,Blattodea,NA,Blattidae,1945,NA,DryA: Seeds: Detritivore,Nearctic Afrotropic,"Yamanaka, 2015"
Periplaneta fuliginosa,NA,NA,クロゴキブリ,Stored: Sanit,Blattodea,NA,Blattidae,1735,NA,DryA: Seeds: Detritivore,Indomalaya,"Yamanaka, 2015"
Nauphoeta cinerea,(Olivier),NA,ハイイロゴキブリ,Stored: Sanit,Blattodea,NA,Oxyhaloidae,1945,NA,DryA: Seeds: Detritivore,Palearctic(Asia),"Yamanaka, 2015"
Lasioderma serricorne,(Fabricius),cigarette beetle :  cigarette beetle:tobacco beetle,タバコシバンムシ,Stored,Coleoptera,NA,Anobiidae,1926,NA,DryA: Seeds,Indomalaya Afrotropic Neotropic,"Yamanaka, 2015"
Stegobium paniceum,(Linnaeus),book-worm :  biscuit beetle:drugstore beetle: sorghum midge,ジンサンシバンムシ,Stored,Coleoptera,NA,Anobiidae,NA,NA,DryA: Seeds,Palearctic(Asia) Palearctic(Europe),"Yamanaka, 2015"
Araecerus coffeae,(Fabricius),cocoa weevil,ワタミヒゲナガゾウムシ,Stored,Coleoptera,NA,Anthribidae,1956,NA,Seeds: Leaf,Neotropic,"Yamanaka, 2015"
Heterobostrychus aequalis,(Waterhouse),NA,ホソナガシンクイ,Wood,Coleoptera,NA,Bostrichidae,1986,NA,Wood,Palearctic(Asia) Indomalaya,"Yamanaka, 2015"
Heterobostrychus hamatipennis,NA,NA,オオナガシンクイ,Wood,Coleoptera,NA,Bostrichidae,NA,NA,Wood,Indomalaya,"Yamanaka, 2015"
Lyctoxylon dentatum,(Fauvel),NA,アラゲヒラタキクイムシ,Wood,Coleoptera,NA,Bostrichidae,NA,NA,Wood,Palearctic(Asia),"Yamanaka, 2015"
Lyctus brunneus,(Stephens),powderpost beetle,ヒラタキクイムシ,Wood,Coleoptera,NA,Bostrichidae,NA,NA,Wood,Palearctic(Europe),"Yamanaka, 2015"
Minthea rugicollis,(Walker),NA,ケブトヒラタキクイムシ,Wood,Coleoptera,NA,Bostrichidae,NA,NA,Wood,Indomalaya,"Yamanaka, 2015"
Rhizopertha dominica,NA,NA,コナナガシンクイ,Stored,Coleoptera,NA,Bostrichidae,NA,NA,Sedds,Palearctic(Asia),"Yamanaka, 2015"
Cylas formicarius,(Fabricius),Sweet potato weevil :  sweetpotato weevil,アリモドキゾウムシ,Outdoor,Coleoptera,NA,Brentidae,1903,NA,Root (根菜類),Indomalaya,"Yamanaka, 2015"
Chalcophora yunnana,NA,NA,ウバタマムシ,Wood,Coleoptera,NA,Buprestidae,NA,NA,Wood,Palearctic(Asia),"Yamanaka, 2015"
Anoplophora ryukyuensis,Breuninget and Ohbayashi,NA,ヨナグニオオシマゴマダラカミキリ,Wood: Outdoor,Coleoptera,NA,Cerambycidae,1986,NA,Wood: Leaf (生木),Indomalaya,"Yamanaka, 2015"
